SVC_NUM,DIR,ROUT_SEQ,BS_CODE,DISTANCE
171,2,38,42071,13.8
171,2,39,42091,14.3
171,2,40,42111,14.8
171,2,41,43011,15
171,2,42,43021,15.5
171,2,43,43041,16.1
171,2,44,43051,16.5
171,2,45,43061,16.9
171,2,46,43071,17.2
171,2,47,43081,17.5
171,2,48,43091,17.9
171,2,49,43111,18.2
171,2,50,44011,18.4
171,2,51,44021,18.7
171,2,52,44251,19.2
171,2,53,44639,19.4
171,2,54,44201,20
171,2,55,44211,20.3
171,2,56,44221,20.6
171,2,57,44261,21.1
171,2,58,BKE,-
171,2,59,48011,25.6
171,2,60,48021,26.2
171,2,61,48031,26.6
171,2,62,48041,27.3
171,2,63,48051,28.3
171,2,64,48061,29
171,2,65,48141,29.7
171,2,66,57051,31.4
171,2,67,57061,31.9
171,2,68,57071,32.5
171,2,69,57081,32.8
171,2,70,59119,33.2
171,2,71,59149,33.7
171,2,72,59072,34.2
171,2,73,59009,34.4
172,1,1,44009,0
172,1,2,44539,0.4
172,1,3,44399,0.9
172,1,4,44111,1.3
172,1,5,44109,1.9
172,1,6,44099,2.3
172,1,7,44089,2.7
172,1,8,44689,3
172,1,9,44079,3.3
172,1,10,30089,3.6
172,1,11,30099,4.2
172,1,12,30059,5.1
172,1,13,30049,5.3
172,1,14,30039,5.8
172,1,15,30029,6.1
172,1,16,30019,6.6
172,1,17,31199,7.1
172,1,18,31189,7.6
172,1,19,31179,7.9
172,1,20,31169,8.1
172,1,21,31159,8.7
172,1,22,31059,9
172,1,23,31049,9.3
172,1,24,31039,9.7
172,1,25,31029,10
172,1,26,31019,10.3
172,1,27,27129,10.6
172,1,28,27109,11.4
172,1,29,27099,11.8
172,1,30,21379,12.5
172,1,31,21369,12.8
172,1,32,E2801,-
172,1,33,22491,13.9
172,1,34,22009,14.4
172,2,1,22009,0
172,2,2,22499,0.7
172,2,3,E2801,-
172,2,4,21361,1.8
172,2,5,21371,2.1
172,2,6,27091,2.6
172,2,7,27101,3.1
172,2,8,27121,3.9
172,2,9,31011,4.3
172,2,10,31021,4.6
172,2,11,31031,5
172,2,12,31041,5.3
172,2,13,31051,5.7
172,2,14,31151,6
172,2,15,31161,6.8
172,2,16,31171,7
172,2,17,31181,7.2
172,2,18,31191,7.7
172,2,19,30011,8.2
172,2,20,30021,8.6
172,2,21,30031,8.9
172,2,22,30041,9.4
172,2,23,30051,9.6
172,2,24,30091,10.5
172,2,25,30081,11.1
172,2,26,44071,11.4
172,2,27,44081,12.1
172,2,28,44091,12.5
172,2,29,44101,12.8
172,2,30,44119,13.3
172,2,31,44391,13.7
172,2,32,44009,14.7
173,1,1,43009,0
173,1,2,43419,0.4
173,1,3,43399,0.8
173,1,4,43389,1.2
173,1,5,43519,1.6
173,1,6,43749,2.1
173,1,7,43739,2.4
173,1,8,43169,2.9
173,1,9,E4302,-
173,1,10,43231,3.7
173,1,11,43241,4
173,1,12,E4303,-
173,1,13,43291,4.3
173,1,14,43301,4.4
173,1,15,E4304,-
173,1,16,43261,4.9
173,1,17,43811,5.6
173,1,18,43821,6
173,1,19,43029,6.6
173,1,20,43019,7
173,1,21,42119,7.4
173,1,22,42109,7.9
173,1,23,42089,8.3
173,1,24,42071,8.9
173,1,25,42151,9.2
173,1,26,42161,9.5
173,1,27,42239,9.8
173,1,28,42309,10.2
173,1,29,42249,10.5
173,1,30,42291,10.9
173,1,31,42209,11.1
173,1,32,28109,12
173,1,33,28189,12.4
173,1,34,28019,13.1
173,1,35,20109,13.7
173,1,36,17189,14.1
173,1,37,17009,14.7
173,1,38,17181,15.1
173,1,39,20101,15.4
173,1,40,28011,16
173,1,41,28181,16.8
173,1,42,28101,17.2
173,1,43,42201,18.2
173,1,44,42299,18.5
173,1,45,42241,18.9
173,1,46,42301,19.2
173,1,47,42231,19.5
173,1,48,42169,19.9
173,1,49,42159,20.1
173,1,50,42091,20.4
173,1,51,42111,20.9
173,1,52,43011,21.1
173,1,53,43021,21.6
173,1,54,43829,22.3
173,1,55,43819,22.6
173,1,56,43267,23.3
173,1,57,E4304,-
173,1,58,43309,23.8
173,1,59,43289,24
173,1,60,43249,24.3
173,1,61,43239,24.7
173,1,62,E4302,-
173,1,63,43161,25.5
173,1,64,43731,26
173,1,65,43741,26.3
173,1,66,43511,26.7
173,1,67,43381,27.1
173,1,68,43391,27.5
173,1,69,43411,28
173,1,70,43009,28.4
176,1,1,45009,0
176,1,2,E4500,-
176,1,3,E4501,-
176,1,4,44259,0.5
176,1,5,44029,0.8
176,1,6,44019,1
176,1,7,43119,1.3
176,1,8,43109,1.7
176,1,9,43089,2
176,1,10,43279,2.8
176,1,11,43268,3.1
176,1,12,43259,3.5
176,1,13,43249,3.7
176,1,14,43239,4.1
176,1,15,43449,4.3
176,1,16,43439,4.6
176,1,17,43429,4.9
